"","airline","timeOfFlight","deptAirport","arrAirport","arrDay","arrTime","deptCountry","flightNumber","estimatedOutGateVariation","estimatedOutGate","estimatedOffGround","actualOutGateVariation","actualOutGate","actualOffGround","estimatedInGateVariation","estimatedInGate","estimatedOnGround","actualInGateVariation","actualInGate","actualOnGround","arrTerminal","arrGate","numStops","connections","miles"
"11","AA",242,"SMF","ORD",2024-08-01,05:49:00,"US",304,"00:00:00",2024-08-01 06:47:00,NA,"-00:05:00",2024-08-01 06:42:00,2024-08-01 06:53:00,"-00:19:00",2024-08-01 10:30:00,NA,"-00:19:00",2024-08-01 10:30:00,2024-08-01 10:22:00,"3","H18",0,"None","1776.99"
"12","AA",232,"RNO","ORD",2024-08-01,05:50:00,"US",2532,"00:14:00",2024-08-01 07:12:00,NA,"00:12:00",2024-08-01 07:10:00,2024-08-01 07:22:00,"00:06:00",2024-08-01 10:56:00,NA,"00:07:00",2024-08-01 10:57:00,2024-08-01 10:48:00,"3","H14",0,"None","1667.19"
"13","AA",582,"ORD","ORD",2024-08-01,06:04:00,"US",2113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"SFO","3685.16"
"14","AA",253,"SFO","ORD",2024-08-01,06:04:00,"US",2113,"00:35:00",2024-08-01 07:26:00,NA,"00:45:00",2024-08-01 07:36:00,2024-08-01 07:54:00,"00:42:00",2024-08-01 11:46:00,NA,"00:45:00",2024-08-01 11:49:00,2024-08-01 11:33:00,"3","H6",0,"None","1842.58"
"15","AA",254,"LAX","ORD",2024-08-01,06:13:00,"US",1597,"00:00:00",2024-08-01 06:59:00,NA,"-00:05:00",2024-08-01 06:54:00,2024-08-01 07:19:00,"-00:11:00",2024-08-01 11:02:00,NA,"-00:08:00",2024-08-01 11:05:00,2024-08-01 10:53:00,"3","H8",0,"None","1741.16"
"16","AA",74,"ATW","ORD",2024-08-01,06:59:00,"US",6048,"00:00:00",2024-08-01 10:45:00,NA,"-00:09:00",2024-08-01 10:36:00,2024-08-01 10:51:00,"-00:14:00",2024-08-01 11:45:00,2024-08-01 11:34:00,"-00:10:00",2024-08-01 11:49:00,2024-08-01 11:34:00,"3","K2",0,"None","161.07"
"17","AA",836,"ORD","ORD",2024-08-01,07:01:00,"US",1309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"ANC","5677.34"
"18","AA",375,"ANC","ORD",2024-08-01,07:01:00,"US",1309,"00:00:00",2024-08-01 05:46:00,NA,"00:04:00",2024-08-01 05:50:00,2024-08-01 06:08:00,"-00:12:00",2024-08-01 11:49:00,NA,"-00:10:00",2024-08-01 11:51:00,2024-08-01 11:37:00,"3","H5",0,"None","2838.67"
"19","AA",87,"MQT","ORD",2024-08-01,07:03:00,"US",4036,"00:00:00",2024-08-01 10:36:00,NA,"-00:01:00",2024-08-01 10:35:00,2024-08-01 10:48:00,"-00:13:00",2024-08-01 11:50:00,NA,"-00:15:00",2024-08-01 11:48:00,2024-08-01 11:39:00,"3","L10B",0,"None","303.33"
"20","AA",93,"MSP","ORD",2024-08-01,07:07:00,"US",2885,"00:00:00",2024-08-01 10:34:00,NA,"-00:05:00",2024-08-01 10:29:00,2024-08-01 10:42:00,"-00:14:00",2024-08-01 11:53:00,NA,"-00:13:00",2024-08-01 11:54:00,2024-08-01 11:40:00,"3","K16",0,"None","333.67"
"21","AA",67,"FWA","ORD",2024-08-01,07:07:00,"US",6024,"00:00:00",2024-08-01 11:00:00,NA,"-00:09:00",2024-08-01 10:51:00,2024-08-01 11:15:00,"-00:08:00",2024-08-01 11:59:00,2024-08-01 11:47:00,"-00:11:00",2024-08-01 11:56:00,2024-08-01 11:48:00,"3","G1B",0,"None","156.48"
"22","AA",68,"GRR","ORD",2024-08-01,07:08:00,"US",2311,"00:00:00",2024-08-01 11:00:00,NA,"-00:08:00",2024-08-01 10:52:00,2024-08-01 11:06:00,"-00:19:00",2024-08-01 11:49:00,NA,"-00:20:00",2024-08-01 11:48:00,2024-08-01 11:36:00,"3","H10",0,"None","136.53"
"23","AA",69,"MLI","ORD",2024-08-01,07:09:00,"US",6153,"00:00:00",2024-08-01 11:00:00,NA,"-00:07:00",2024-08-01 10:53:00,2024-08-01 11:05:00,"-00:15:00",2024-08-01 11:54:00,2024-08-01 11:40:00,"-00:11:00",2024-08-01 11:58:00,2024-08-01 11:43:00,"3","H1A",0,"None","139.14"
"24","AA",67,"PIA","ORD",2024-08-01,07:09:00,"US",6162,"00:00:00",2024-08-01 11:02:00,NA,"-00:08:00",2024-08-01 10:54:00,2024-08-01 11:11:00,"-00:12:00",2024-08-01 11:57:00,2024-08-01 11:45:00,"-00:13:00",2024-08-01 11:56:00,2024-08-01 11:45:00,"3","G20",0,"None","129.85"
