"Airport","Terminal","Date","Hour","US_Average_Wait_Time","U.S. Citizen Max_Wait_Time","Non_US_Average_Wait_Times","Non U.S. Citizen Max_Wait_Time","Wait Times Average_Wait_Time","Wait Times Max_Wait_Time","Number Of Passengers Time Interval 0-15","Number Of Passengers Time Interval 16-30","Number Of Passengers Time Interval 31-45","Number Of Passengers Time Interval 46-60","Number Of Passengers Time Interval 61-90","Number Of Passengers Time Interval 91-120","Number Of Passengers Time Interval 120_plus"," Excluded"," Total"," Flights"
"ORD","Terminal 5","8/24/2024","1700 - 1800","20","54","32","57","23","57","454","716","382","67","0","0","0","49","1668","9"
"ORD","Terminal 5","8/24/2024","1800 - 1900","29","57","31","57","30","57","341","670","1154","180","0","0","0","69","2414","12"
"ORD","Terminal 5","8/24/2024","1900 - 2000","27","60","31","60","28","60","90","268","258","29","0","0","0","15","660","3"
"ORD","Terminal 5","8/24/2024","2000 - 2100","28","56","24","54","27","56","206","108","207","114","0","0","0","22","657","3"
"ORD","Terminal 5","8/24/2024","2100 - 2200","29","56","34","56","30","56","84","114","102","113","0","0","0","15","428","2"
"ORD","Terminal 5","8/24/2024","2300 - 0000","32","54","33","54","32","54","29","64","70","54","0","0","0","7","224","1"
"ORD","Terminal 5","8/25/2024","0000 - 0100","75","154","82","154","78","154","26","60","47","72","86","129","105","21","546","3"
"ORD","Terminal 5","8/25/2024","0200 - 0300","71","92","68","92","70","92","22","6","2","20","291","5","0","18","364","2"
"ORD","Terminal 5","8/25/2024","0500 - 0600","31","82","36","84","33","84","88","87","80","20","59","0","0","10","344","2"
"ORD","Terminal 5","8/25/2024","0600 - 0700","63","87","57","87","61","87","14","15","19","56","168","0","0","5","277","1"
"ORD","Terminal 5","8/25/2024","0700 - 0800","23","51","37","65","34","65","92","130","170","107","42","0","0","16","557","2"
"ORD","Terminal 5","8/25/2024","0800 - 0900","17","53","25","61","23","61","155","240","141","22","1","0","0","19","578","2"
"ORD","Terminal 5","8/25/2024","0900 - 1000","44","91","79","135","64","135","95","94","129","160","289","251","32","31","1081","4"
"ORD","Terminal 5","8/25/2024","1000 - 1100","20","77","61","80","27","80","76","83","33","4","29","0","0","7","232","1"
"ORD","Terminal 5","8/25/2024","1100 - 1200","14","43","47","80","30","80","196","130","141","35","87","0","0","16","605","2"
"ORD","Terminal 5","8/25/2024","1200 - 1300","15","49","17","49","15","49","938","671","125","14","0","0","0","58","1806","9"
"ORD","Terminal 5","8/25/2024","1300 - 1400","23","57","22","57","22","57","530","926","446","51","0","0","0","57","2010","8"
"ORD","Terminal 5","8/25/2024","1400 - 1500","42","114","50","114","45","114","575","354","278","508","946","54","0","86","2801","11"
"ORD","Terminal 5","8/25/2024","1500 - 1600","42","92","69","99","53","99","146","76","217","464","520","28","0","47","1498","6"
"ORD","Terminal 5","8/25/2024","1600 - 1700","28","63","40","66","31","66","328","265","628","235","23","0","0","41","1520","8"
"ORD","Terminal 5","8/25/2024","1700 - 1800","10","31","17","38","13","38","1002","512","56","0","0","0","0","41","1611","7"
"ORD","Terminal 5","8/25/2024","1800 - 1900","17","45","20","45","18","45","836","830","250","0","0","0","0","60","1976","9"
"ORD","Terminal 5","8/25/2024","1900 - 2000","15","30","17","30","15","30","216","260","0","0","0","0","0","12","488","3"
"ORD","Terminal 5","8/25/2024","2000 - 2100","8","17","9","17","8","17","142","6","0","0","0","0","0","8","156","1"
"ORD","Terminal 5","8/25/2024","2100 - 2200","34","52","32","52","33","52","8","120","135","45","0","0","0","8","316","1"
"ORD","Terminal 5","8/26/2024","0000 - 0100","23","62","26","62","24","62","100","79","87","22","4","0","0","14","306","2"
"ORD","Terminal 5","8/26/2024","0100 - 0200","44","74","40","76","42","76","56","66","84","160","83","0","0","25","474","2"
"ORD","Terminal 5","8/26/2024","0200 - 0300","20","31","18","31","19","31","42","114","4","0","0","0","0","9","169","1"
"ORD","Terminal 5","8/26/2024","0400 - 0500","13","29","20","28","14","29","97","70","0","0","0","0","0","6","173","1"
"ORD","Terminal 5","8/26/2024","0500 - 0600","16","32","17","32","16","32","60","77","4","0","0","0","0","4","145","1"
"ORD","Terminal 5","8/26/2024","0600 - 0700","33","70","40","78","37","78","75","95","140","130","47","0","0","16","503","2"
"ORD","Terminal 5","8/26/2024","0700 - 0800","23","59","47","69","41","69","66","110","105","274","60","0","0","18","633","2"
"ORD","Terminal 5","8/26/2024","0800 - 0900","23","67","27","93","26","93","284","317","113","89","53","3","0","20","879","3"
"ORD","Terminal 5","8/26/2024","0900 - 1000","19","84","50","85","39","85","208","180","80","118","251","0","0","34","871","4"
"ORD","Terminal 5","8/26/2024","1000 - 1100","28","52","58","75","38","75","20","46","58","4","38","0","0","10","176","1"
"ORD","Terminal 5","8/26/2024","1100 - 1200","5","21","13","26","10","26","282","89","0","0","0","0","0","11","382","2"
"ORD","Terminal 5","8/26/2024","1200 - 1300","8","29","15","32","11","32","880","377","1","0","0","0","0","36","1294","6"
"ORD","Terminal 5","8/26/2024","1300 - 1400","13","45","20","55","16","55","1119","744","152","74","0","0","0","65","2154","9"
"ORD","Terminal 5","8/26/2024","1400 - 1500","26","95","38","110","31","110","963","608","448","394","325","61","0","84","2883","11"
"ORD","Terminal 5","8/26/2024","1500 - 1600","47","115","77","122","57","122","277","138","205","464","851","262","2","68","2267","10"
"ORD","Terminal 5","8/26/2024","1600 - 1700","43","87","59","91","49","91","141","53","241","103","385","5","0","28","956","6"
"ORD","Terminal 5","8/26/2024","1700 - 1800","14","39","15","39","14","39","566","308","126","0","0","0","0","31","1031","6"
"ORD","Terminal 5","8/26/2024","1800 - 1900","13","37","17","46","15","46","933","735","77","3","0","0","0","51","1799","9"
"ORD","Terminal 5","8/26/2024","1900 - 2000","11","27","11","27","11","27","563","259","0","0","0","0","0","27","849","4"
"ORD","Terminal 5","8/26/2024","2000 - 2100","10","32","17","32","13","32","464","244","23","0","0","0","0","14","745","3"
"ORD","Terminal 5","8/26/2024","2300 - 0000","29","44","23","44","27","44","40","67","91","0","0","0","0","8","206","1"
"ORD","Terminal 5","8/27/2024","0000 - 0100","34","66","40","65","37","66","29","87","91","76","26","0","0","10","319","2"
"ORD","Terminal 5","8/27/2024","0100 - 0200","37","54","34","54","36","54","21","39","99","54","0","0","0","5","218","1"
"ORD","Terminal 5","8/27/2024","0200 - 0300","16","31","16","32","16","32","145","164","13","0","0","0","0","6","328","2"
"ORD","Terminal 5","8/27/2024","0500 - 0600","38","90","41","95","39","95","80","85","50","23","85","11","0","10","344","2"
"ORD","Terminal 5","8/27/2024","0600 - 0700","35","54","53","69","48","69","22","9","76","107","87","0","0","10","311","1"
"ORD","Terminal 5","8/27/2024","0700 - 0800","23","56","25","68","24","68","122","211","144","15","4","0","0","16","512","2"
"ORD","Terminal 5","8/27/2024","0800 - 0900","15","22","17","27","16","27","78","123","0","0","0","0","0","4","205","1"
"ORD","Terminal 5","8/27/2024","0900 - 1000","17","63","23","62","20","63","451","483","259","28","2","0","0","36","1259","5"
"ORD","Terminal 5","8/27/2024","1100 - 1200","9","30","8","29","9","30","471","96","0","0","0","0","0","18","585","3"
"ORD","Terminal 5","8/27/2024","1200 - 1300","8","30","13","31","9","31","651","224","3","0","0","0","0","29","907","6"
"ORD","Terminal 5","8/27/2024","1300 - 1400","14","38","11","36","13","38","1287","729","74","0","0","0","0","71","2161","9"
"ORD","Terminal 5","8/27/2024","1400 - 1500","14","77","27","105","19","105","923","640","138","71","68","10","0","55","1905","8"
"ORD","Terminal 5","8/27/2024","1500 - 1600","30","101","57","108","40","108","410","329","437","337","245","140","0","54","1952","8"
"ORD","Terminal 5","8/27/2024","1600 - 1700","30","92","57","97","39","97","230","358","634","232","201","50","0","51","1756","8"
"ORD","Terminal 5","8/27/2024","1700 - 1800","8","28","13","28","9","28","569","114","0","0","0","0","0","20","703","5"
"ORD","Terminal 5","8/27/2024","1800 - 1900","16","48","24","63","19","63","498","440","138","34","2","0","0","40","1152","5"
"ORD","Terminal 5","8/27/2024","1900 - 2000","7","17","7","17","7","17","95","5","0","0","0","0","0","3","103","1"
"ORD","Terminal 5","8/27/2024","2000 - 2100","7","22","12","27","10","27","178","65","0","0","0","0","0","8","251","1"
"ORD","Terminal 5","8/27/2024","2100 - 2200","25","64","34","64","28","64","146","230","198","109","6","0","0","15","704","5"
"ORD","Terminal 5","8/27/2024","2300 - 0000","8","17","10","17","9","17","223","24","0","0","0","0","0","6","253","1"
"ORD","Terminal 5","8/28/2024","0000 - 0100","47","115","55","116","51","116","73","81","79","103","154","51","0","16","557","3"
"ORD","Terminal 5","8/28/2024","0100 - 0200","45","79","46","107","45","107","40","26","56","67","82","2","0","10","283","2"
"ORD","Terminal 5","8/28/2024","0200 - 0300","45","56","45","56","45","56","6","9","52","110","0","0","0","3","180","1"
"ORD","Terminal 5","8/28/2024","0500 - 0600","22","41","19","41","20","41","84","73","54","0","0","0","0","9","220","1"
"ORD","Terminal 5","8/28/2024","0600 - 0700","41","63","41","63","41","63","46","40","51","169","16","0","0","9","331","1"
"ORD","Terminal 5","8/28/2024","0800 - 0900","22","73","38","81","32","81","167","215","148","160","61","0","0","22","773","3"
"ORD","Terminal 5","8/28/2024","0900 - 1000","22","81","34","88","30","88","301","330","219","126","111","0","0","43","1130","4"
"ORD","Terminal 5","8/28/2024","1000 - 1100","8","19","13","23","10","23","248","83","0","0","0","0","0","10","341","2"
"ORD","Terminal 5","8/28/2024","1100 - 1200","11","38","17","38","14","38","261","144","23","0","0","0","0","10","438","2"
"ORD","Terminal 5","8/28/2024","1200 - 1300","7","22","8","22","7","22","671","56","0","0","0","0","0","18","745","5"
"ORD","Terminal 5","8/28/2024","1300 - 1400","13","34","14","36","14","36","1100","811","32","0","0","0","0","67","2010","9"
"ORD","Terminal 5","8/28/2024","1400 - 1500","26","113","29","113","27","113","669","607","332","251","123","21","0","68","2071","9"
"ORD","Terminal 5","8/28/2024","1500 - 1600","43","78","47","78","45","78","142","90","241","478","282","0","0","36","1269","5"
"ORD","Terminal 5","8/28/2024","1600 - 1700","28","66","26","66","27","66","331","438","245","146","89","0","0","22","1271","8"
"ORD","Terminal 5","8/28/2024","1700 - 1800","16","39","25","88","20","88","361","444","94","15","27","0","0","29","970","5"
"ORD","Terminal 5","8/28/2024","1800 - 1900","8","25","10","25","9","25","550","136","0","0","0","0","0","20","706","4"
"ORD","Terminal 5","8/28/2024","1900 - 2000","21","65","30","69","24","69","510","317","309","147","40","0","0","39","1362","7"
"ORD","Terminal 5","8/28/2024","2000 - 2100","9","34","20","36","12","36","203","84","24","0","0","0","0","10","321","2"
"ORD","Terminal 5","8/28/2024","2100 - 2200","14","31","19","33","15","33","104","134","11","0","0","0","0","7","256","2"
"ORD","Terminal 5","8/28/2024","2300 - 0000","24","51","28","52","26","52","42","77","74","9","0","0","0","6","208","1"
"ORD","Terminal 5","8/29/2024","0000 - 0100","27","53","29","53","28","53","64","189","200","26","0","0","0","12","491","3"
"ORD","Terminal 5","8/29/2024","0100 - 0200","37","75","40","75","39","75","67","72","76","61","96","0","0","14","386","2"
"ORD","Terminal 5","8/29/2024","0200 - 0300","19","27","17","27","18","27","23","105","0","0","0","0","0","7","135","1"
"ORD","Terminal 5","8/29/2024","0300 - 0400","11","22","12","22","12","22","88","43","0","0","0","0","0","5","136","1"
"ORD","Terminal 5","8/29/2024","0500 - 0600","27","54","30","57","29","57","50","40","38","45","0","0","0","4","177","1"
"ORD","Terminal 5","8/29/2024","0700 - 0800","15","62","26","64","23","64","218","220","122","48","14","0","0","17","639","2"
"ORD","Terminal 5","8/29/2024","0800 - 0900","25","41","35","52","30","52","41","185","169","40","0","0","0","14","449","2"
"ORD","Terminal 5","8/29/2024","0900 - 1000","21","66","30","76","27","76","260","218","255","97","18","0","0","27","875","3"
"ORD","Terminal 5","8/29/2024","1000 - 1100","4","20","10","29","7","29","485","67","0","0","0","0","0","21","573","3"
"ORD","Terminal 5","8/29/2024","1100 - 1200","6","24","10","24","7","24","223","35","0","0","0","0","0","5","263","2"
"ORD","Terminal 5","8/29/2024","1200 - 1300","10","49","14","52","12","52","668","242","54","13","0","0","0","30","1007","6"
"ORD","Terminal 5","8/29/2024","1300 - 1400","13","32","15","36","13","36","892","627","37","0","0","0","0","48","1604","8"
"ORD","Terminal 5","8/29/2024","1400 - 1500","19","74","26","77","22","77","951","812","484","169","56","0","0","87","2559","11"
"ORD","Terminal 5","8/29/2024","1500 - 1600","30","67","52","79","39","79","146","150","321","295","122","0","0","42","1076","6"
"ORD","Terminal 5","8/29/2024","1600 - 1700","28","64","33","64","30","64","171","441","501","149","11","0","0","30","1303","7"
"ORD","Terminal 5","8/29/2024","1700 - 1800","14","48","24","87","18","87","492","327","152","35","15","0","0","31","1052","6"
"ORD","Terminal 5","8/29/2024","1800 - 1900","12","35","15","37","13","37","777","374","45","0","0","0","0","35","1231","7"
"ORD","Terminal 5","8/29/2024","1900 - 2000","8","22","11","22","9","22","419","86","0","0","0","0","0","15","520","3"
"ORD","Terminal 5","8/29/2024","2000 - 2100","8","19","10","20","8","20","463","55","0","0","0","0","0","16","534","2"
"ORD","Terminal 5","8/29/2024","2100 - 2200","17","51","34","61","24","61","135","128","67","53","4","0","0","13","400","3"
"ORD","Terminal 5","8/30/2024","0000 - 0100","26","60","29","62","28","62","90","195","225","34","4","0","0","16","564","3"
"ORD","Terminal 5","8/30/2024","0500 - 0600","17","42","21","42","20","42","99","107","60","0","0","0","0","6","272","2"
"ORD","Terminal 5","8/30/2024","0700 - 0800","21","42","22","42","21","42","128","300","97","0","0","0","0","13","538","2"
"ORD","Terminal 5","8/30/2024","0900 - 1000","17","66","29","77","25","77","532","446","342","158","44","0","0","46","1568","6"
"ORD","Terminal 5","8/30/2024","1000 - 1100","7","23","13","38","9","38","346","66","5","0","0","0","0","15","432","3"
"ORD","Terminal 5","8/30/2024","1100 - 1200","11","36","14","36","12","36","371","130","20","0","0","0","0","13","534","2"
"ORD","Terminal 5","8/30/2024","1200 - 1300","11","32","13","31","12","32","767","363","5","0","0","0","0","38","1173","5"
"ORD","Terminal 5","8/30/2024","1300 - 1400","13","33","18","33","15","33","838","794","38","0","0","0","0","47","1717","7"
"ORD","Terminal 5","8/30/2024","1400 - 1500","16","110","23","57","18","110","941","549","348","36","2","2","0","66","1944","10"
"ORD","Terminal 5","8/30/2024","1500 - 1600","22","63","37","75","28","75","479","646","537","257","60","0","0","62","2041","9"
"ORD","Terminal 5","8/30/2024","1600 - 1700","22","52","25","52","24","52","464","387","399","103","0","0","0","38","1391","7"
"ORD","Terminal 5","8/30/2024","1700 - 1800","10","36","15","37","12","37","668","263","38","0","0","0","0","22","991","8"
"ORD","Terminal 5","8/30/2024","1800 - 1900","15","48","25","48","18","48","458","265","201","22","0","0","0","36","982","6"
"ORD","Terminal 5","8/30/2024","1900 - 2000","12","30","15","38","12","38","638","350","8","0","0","0","0","25","1021","6"
"ORD","Terminal 5","8/30/2024","2000 - 2100","9","16","13","18","11","18","130","25","0","0","0","0","0","2","157","1"
"ORD","Terminal 5","8/30/2024","2100 - 2200","19","46","21","46","20","46","136","185","60","2","0","0","0","11","394","2"
"ORD","Terminal 5","8/31/2024","0000 - 0100","47","123","54","128","51","128","195","75","114","96","196","145","11","28","860","5"
"ORD","Terminal 5","8/31/2024","0100 - 0200","86","122","91","122","89","122","1","3","23","23","90","188","11","9","348","2"
"ORD","Terminal 5","8/31/2024","0500 - 0600","14","72","24","71","21","72","103","48","34","20","12","0","0","6","223","1"
"ORD","Terminal 5","8/31/2024","0600 - 0700","30","76","60","90","49","90","63","36","72","105","145","0","0","10","431","2"
"ORD","Terminal 5","8/31/2024","0700 - 0800","18","64","31","64","25","64","182","225","107","58","11","0","0","17","600","2"
"ORD","Terminal 5","8/31/2024","0800 - 0900","11","43","28","51","20","51","240","186","137","18","0","0","0","18","599","3"
"ORD","Terminal 5","8/31/2024","0900 - 1000","23","61","41","73","33","73","190","104","286","198","42","0","0","26","846","3"
"ORD","Terminal 5","8/31/2024","1000 - 1100","9","32","26","55","17","55","191","159","44","17","0","0","0","16","427","2"
"ORD","Terminal 5","8/31/2024","1100 - 1200","16","42","25","42","19","42","221","216","139","0","0","0","0","16","592","3"
"ORD","Terminal 5","8/31/2024","1200 - 1300","11","28","15","32","13","32","387","252","5","0","0","0","0","19","663","3"
"ORD","Terminal 5","8/31/2024","1300 - 1400","9","27","12","27","10","27","1167","360","0","0","0","0","0","46","1573","6"
"ORD","Terminal 5","8/31/2024","1400 - 1500","27","101","46","104","36","104","723","470","378","346","455","71","0","81","2524","11"
"ORD","Terminal 5","8/31/2024","1500 - 1600","56","120","84","123","66","123","301","222","141","107","980","570","7","77","2405","11"
"ORD","Terminal 5","8/31/2024","1600 - 1700","50","102","72","106","57","106","224","60","91","181","737","82","0","42","1417","7"
"ORD","Terminal 5","8/31/2024","1700 - 1800","27","60","30","60","28","60","362","355","464","223","0","0","0","35","1439","8"
"ORD","Terminal 5","8/31/2024","1800 - 1900","27","48","23","41","26","48","181","435","358","26","0","0","0","31","1031","7"
"ORD","Terminal 5","8/31/2024","1900 - 2000","9","23","10","24","10","24","679","157","0","0","0","0","0","22","858","4"
"ORD","Terminal 5","8/31/2024","2000 - 2100","8","36","14","36","10","36","418","100","31","0","0","0","0","13","562","2"
"ORD","Terminal 5","8/31/2024","2100 - 2200","17","32","17","32","17","32","147","194","10","0","0","0","0","9","360","2"
"ORD","Terminal 5","8/31/2024","2200 - 2300","7","15","10","16","8","16","94","5","0","0","0","0","0","4","103","1"
"ORD","Terminal 5","8/31/2024","2300 - 0000","30","43","27","43","29","43","31","61","103","0","0","0","0","7","202","1"
"ORD","Terminal 5","9/1/2024","0000 - 0100","28","75","30","80","29","80","187","114","88","67","64","0","0","25","545","3"
"ORD","Terminal 5","9/1/2024","0100 - 0200","32","45","32","45","32","45","15","30","103","0","0","0","0","6","154","1"
"ORD","Terminal 5","9/1/2024","0400 - 0500","18","35","21","35","20","35","50","76","24","0","0","0","0","2","152","1"
"ORD","Terminal 5","9/1/2024","0500 - 0600","35","80","36","80","35","80","69","88","64","49","59","0","0","9","338","2"
"ORD","Terminal 5","9/1/2024","0600 - 0700","41","69","58","89","51","89","57","43","77","205","170","0","0","18","570","2"
"ORD","Terminal 5","9/1/2024","0700 - 0800","35","60","44","60","40","60","0","59","144","114","0","0","0","5","322","1"
"ORD","Terminal 5","9/1/2024","0800 - 0900","22","83","38","83","31","83","146","243","189","139","50","0","0","24","791","3"
"ORD","Terminal 5","9/1/2024","0900 - 1000","31","114","64","123","49","123","88","39","104","132","77","66","3","15","524","2"
"ORD","Terminal 5","9/1/2024","1000 - 1100","20","99","53","100","36","100","92","169","88","102","61","15","0","19","546","2"
"ORD","Terminal 5","9/1/2024","1100 - 1200","19","31","29","38","22","38","34","60","26","0","0","0","0","7","127","1"
"ORD","Terminal 5","9/1/2024","1200 - 1300","17","154","17","35","17","154","453","364","55","0","0","0","14","31","917","5"
"ORD","Terminal 5","9/1/2024","1300 - 1400","26","105","28","105","27","105","939","967","427","149","220","72","0","97","2871","13"
"ORD","Terminal 5","9/1/2024","1400 - 1500","47","107","54","108","50","108","323","249","338","540","736","195","0","82","2463","9"
"ORD","Terminal 5","9/1/2024","1500 - 1600","51","129","86","130","65","130","194","101","126","272","665","352","22","66","1798","9"
"ORD","Terminal 5","9/1/2024","1600 - 1700","38","96","71","101","47","101","248","153","436","339","466","81","0","57","1780","8"
"ORD","Terminal 5","9/1/2024","1700 - 1800","21","44","36","49","25","49","281","273","460","21","0","0","0","31","1066","5"
"ORD","Terminal 5","9/1/2024","1800 - 1900","16","48","20","45","17","48","595","492","135","7","0","0","0","36","1265","7"
"ORD","Terminal 5","9/1/2024","1900 - 2000","14","45","19","45","15","45","748","385","226","0","0","0","0","45","1404","7"
"ORD","Terminal 5","9/1/2024","2000 - 2100","13","22","14","22","13","22","140","128","0","0","0","0","0","2","270","1"
"ORD","Terminal 5","9/1/2024","2100 - 2200","17","44","21","44","18","44","209","136","110","0","0","0","0","14","469","2"
