"Airport","Terminal","Date","Hour","US_Average_Wait_Time","U.S. Citizen Max_Wait_Time","Non_US_Average_Wait_Times","Non U.S. Citizen Max_Wait_Time","Wait Times Average_Wait_Time","Wait Times Max_Wait_Time","Number Of Passengers Time Interval 0-15","Number Of Passengers Time Interval 16-30","Number Of Passengers Time Interval 31-45","Number Of Passengers Time Interval 46-60","Number Of Passengers Time Interval 61-90","Number Of Passengers Time Interval 91-120","Number Of Passengers Time Interval 120_plus"," Excluded"," Total"," Flights"
"ORD","Terminal 5","8/22/2024","1600 - 1700","41","76","63","84","49","84","62","15","52","139","167","0","0","13","448","3"
"ORD","Terminal 5","8/22/2024","1700 - 1800","9","22","11","20","9","22","557","114","0","0","0","0","0","19","690","4"
"ORD","Terminal 5","8/22/2024","1800 - 1900","12","35","14","34","13","35","728","388","23","0","0","0","0","30","1169","7"
"ORD","Terminal 5","8/22/2024","1900 - 2000","24","79","38","88","28","88","562","219","276","178","160","0","0","51","1446","6"
"ORD","Terminal 5","8/22/2024","2000 - 2100","31","65","47","80","37","80","100","184","216","175","80","0","0","22","777","3"
"ORD","Terminal 5","8/22/2024","2100 - 2200","33","52","47","54","35","54","27","13","72","38","0","0","0","4","154","1"
"ORD","Terminal 5","8/23/2024","0000 - 0100","32","77","40","77","36","77","182","125","144","196","108","0","0","27","782","4"
"ORD","Terminal 5","8/23/2024","0100 - 0200","54","66","55","66","55","66","1","5","10","103","50","0","0","5","174","1"
"ORD","Terminal 5","8/23/2024","0400 - 0500","11","22","11","20","11","22","89","48","0","0","0","0","0","5","142","1"
"ORD","Terminal 5","8/23/2024","0500 - 0600","22","52","26","55","25","55","62","90","37","31","0","0","0","6","226","1"
"ORD","Terminal 5","8/23/2024","0600 - 0700","8","47","37","57","29","57","96","49","76","84","0","0","0","11","316","1"
"ORD","Terminal 5","8/23/2024","0700 - 0800","19","42","27","46","25","46","73","154","101","3","0","0","0","11","342","1"
"ORD","Terminal 5","8/23/2024","0800 - 0900","12","94","35","110","28","110","323","187","99","66","63","42","0","26","806","3"
"ORD","Terminal 5","8/23/2024","0900 - 1000","31","121","81","131","62","131","13","47","92","18","23","65","26","9","293","1"
"ORD","Terminal 5","8/23/2024","1000 - 1100","22","117","97","141","57","141","228","167","139","71","30","261","96","30","1022","4"
"ORD","Terminal 5","8/23/2024","1100 - 1200","8","28","63","93","26","93","93","20","0","3","32","4","0","8","160","1"
"ORD","Terminal 5","8/23/2024","1200 - 1300","23","60","46","70","32","70","239","235","359","262","51","0","0","35","1181","5"
"ORD","Terminal 5","8/23/2024","1300 - 1400","21","51","23","58","21","58","806","1096","615","65","0","0","0","91","2673","12"
"ORD","Terminal 5","8/23/2024","1400 - 1500","33","95","51","95","41","95","168","376","555","414","311","16","0","55","1895","8"
"ORD","Terminal 5","8/23/2024","1500 - 1600","36","131","66","132","46","132","363","427","869","658","566","149","58","103","3193","12"
"ORD","Terminal 5","8/23/2024","1600 - 1700","33","94","66","105","44","105","160","238","427","242","330","35","0","53","1485","8"
"ORD","Terminal 5","8/23/2024","1700 - 1800","18","61","45","71","27","71","419","299","289","144","61","0","0","37","1249","6"
"ORD","Terminal 5","8/23/2024","1800 - 1900","13","35","13","33","13","35","680","423","21","0","0","0","0","41","1165","6"
"ORD","Terminal 5","8/23/2024","1900 - 2000","15","40","17","41","16","41","523","463","71","0","0","0","0","33","1090","5"
"ORD","Terminal 5","8/23/2024","2000 - 2100","14","32","15","32","14","32","209","189","8","0","0","0","0","9","415","2"
"ORD","Terminal 5","8/23/2024","2100 - 2200","11","35","15","35","12","35","324","97","50","0","0","0","0","9","480","2"
"ORD","Terminal 5","8/23/2024","2300 - 0000","26","55","28","58","27","58","64","50","70","32","0","0","0","7","223","1"
"ORD","Terminal 5","8/24/2024","0000 - 0100","46","88","46","85","46","88","31","87","112","90","139","0","0","14","473","3"
"ORD","Terminal 5","8/24/2024","0100 - 0200","63","98","57","98","60","98","50","1","0","73","199","16","0","17","356","2"
"ORD","Terminal 5","8/24/2024","0400 - 0500","22","36","25","42","23","42","27","85","48","0","0","0","0","4","164","1"
"ORD","Terminal 5","8/24/2024","0500 - 0600","23","52","25","52","24","52","107","108","69","46","0","0","0","9","339","2"
"ORD","Terminal 5","8/24/2024","0600 - 0700","21","63","43","70","34","70","89","173","123","122","49","0","0","13","569","2"
"ORD","Terminal 5","8/24/2024","0700 - 0800","21","65","45","70","38","70","50","68","74","90","46","0","0","10","338","1"
"ORD","Terminal 5","8/24/2024","0800 - 0900","40","118","53","121","48","121","44","184","226","141","140","79","1","27","842","3"
"ORD","Terminal 5","8/24/2024","0900 - 1000","38","188","120","193","92","193","67","39","81","118","21","151","282","20","779","3"
"ORD","Terminal 5","8/24/2024","1000 - 1100","18","48","93","148","50","148","166","173","51","5","11","41","118","13","578","2"
"ORD","Terminal 5","8/24/2024","1100 - 1200","14","91","60","93","32","93","164","127","18","1","98","16","0","14","438","2"
"ORD","Terminal 5","8/24/2024","1200 - 1300","13","69","44","74","24","74","756","530","32","283","127","0","0","60","1788","8"
"ORD","Terminal 5","8/24/2024","1300 - 1400","17","52","27","56","19","56","556","783","127","85","0","0","0","46","1597","7"
"ORD","Terminal 5","8/24/2024","1400 - 1500","29","95","61","108","43","108","571","577","473","434","680","203","0","96","3034","11"
"ORD","Terminal 5","8/24/2024","1500 - 1600","47","128","85","131","59","131","313","147","182","666","716","481","31","82","2618","11"
"ORD","Terminal 5","8/24/2024","1600 - 1700","42","96","78","111","55","111","145","47","129","238","277","166","0","32","1034","5"
